MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
23631246,366825190,2015-01-31 23:55:51,48.140570000000004,-123.42563,0.0,-126.6,294.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23631644,316003657,2015-01-31 23:55:40,48.41473,-123.38598,0.0,0.0,511.0,SEASPAN FOAM,,,1025.0,under way using engine,17.68,6.1,2.44,
23616129,369077000,2015-01-31 23:55:39,48.224109999999996,-123.86091,8.2,105.0,106.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
23629607,367086320,2015-01-31 23:55:39,48.0618,-123.03898000000001,0.0,0.0,511.0,MALAIKA,,WDC8392,1019.0,,12.8,3.8,0.0,
23614126,316011773,2015-01-31 23:55:38,48.43313,-123.4337,0.0,-191.6,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
23617114,316005175,2015-01-31 23:55:38,48.41457,-123.38656,0.0,-120.3,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
23629291,352910000,2015-01-31 23:55:38,48.25882,-123.625,13.6,-130.6,278.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23618945,366824910,2015-01-31 23:55:36,48.14066,-123.42551999999999,0.0,-119.8,291.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23631423,368168000,2015-01-31 23:55:35,48.12562,-123.45301,0.0,202.4,30.0,SOLUTION,IMO9609809,WDF6808,1019.0,moored,43.53,7.9,2.37,
23628326,366910890,2015-01-31 23:55:32,48.1322,-123.44976000000001,0.0,8.3,511.0,ADRIATIC SEA,IMO7716969,WDB5553,1025.0,at anchor,38.41,10.37,4.18,52.0
23654254,367528820,2015-01-31 23:55:27,48.12643,-123.45653,0.0,0.0,511.0,CABOLICIOUS,,WDG3703,1019.0,,10.52,0.0,0.0,
24364263,303436000,2015-01-31 23:55:25,48.12462,-123.44043,0.0,-158.8,253.0,W C PARK RESPONDER,IMO9043835,WBO8587,1011.0,moored,63.55,13.41,4.37,54.0
23630123,316004410,2015-01-31 23:55:22,48.36987,-123.72591000000001,0.0,0.0,511.0,ELIZA JOYE,,,1001.0,,13.38,5.43,2.19,
23631437,316002500,2015-01-31 23:55:18,48.43107,-123.3759,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23613482,367001670,2015-01-31 23:55:10,48.12547,-123.45228999999999,0.1,11.5,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
23614305,234270000,2015-01-31 23:55:05,48.41467,-123.38817,0.1,60.0,84.0,WAVE VENTURE,IMO8027810,MZDO7,1005.0,moored,141.5,19.41,6.1,70.0
23615898,316001538,2015-01-31 23:55:03,48.42327,-123.38431000000001,0.0,162.9,511.0,JOHN STRICKLAND,,CZ4835,,moored,14.94,4.42,1.4,
23611282,367565030,2015-01-31 23:54:59,48.12271,-123.44396,0.5,29.5,511.0,WAVE WALKER,,WDG7216,1019.0,,19.81,0.0,0.0,
24365207,316011515,2015-01-31 23:54:58,48.4331,-123.43378999999999,0.0,173.3,165.0,HMCS WOLF,,CGBP,1018.0,moored,0.0,0.0,0.0,35.0
24363868,316013431,2015-01-31 23:54:57,48.41466,-123.38625,0.0,-131.7,245.0,PACIFIC SCOUT,,,,undefined,19.0,6.06,2.88,50.0
23617113,211378370,2015-01-31 23:54:53,48.239979999999996,-123.98693,14.4,111.1,108.0,HANJIN BRUSSELS,IMO9200691,DIGW,71.0,under way using engine,278.0,40.0,12.3,71.0
23631631,316116000,2015-01-31 23:54:46,48.43657,-123.42443,0.0,23.5,84.0,CCGS W E RICKER,IMO7809364,CG2965,1020.0,moored,58.0,9.53,3.85,51.0
23651737,366825190,2015-01-31 23:54:42,48.14058,-123.42563,0.0,-132.5,294.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23631053,316005175,2015-01-31 23:54:37,48.41457,-123.38656999999999,0.1,-139.2,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
23612822,352910000,2015-01-31 23:54:37,48.258179999999996,-123.6195,13.6,-129.6,277.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23653641,316013711,2015-01-31 23:54:34,48.43975,-123.44742,0.0,-106.5,292.0,CFAV GLENDYNE,,CGNF,,under way using engine,29.0,0.0,0.0,
23614914,316003657,2015-01-31 23:54:32,48.41473,-123.386,0.0,0.0,511.0,SEASPAN FOAM,,,1025.0,under way using engine,17.68,6.1,2.44,
23615896,316010312,2015-01-31 23:54:32,48.38007,-123.51078000000001,0.3,195.9,511.0,RAMPART,,CFK9385,1019.0,,0.0,0.0,0.0,
23618152,311037800,2015-01-31 23:54:32,48.42246,-123.37353,0.0,104.1,143.0,VICTORIA CLIPPER IV,IMO9059999,C6YL9,1012.0,moored,40.0,10.1,2.4,60.0
23615664,369077000,2015-01-31 23:54:30,48.2248,-123.86477,8.4,105.0,106.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
24363837,316011773,2015-01-31 23:54:29,48.43314,-123.43368000000001,0.0,-141.6,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
24363865,366824910,2015-01-31 23:54:28,48.14066,-123.42551999999999,0.0,-134.0,291.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23652619,369272000,2015-01-31 23:54:24,48.12509,-123.44131000000002,0.0,-163.8,511.0,POLAR DISCOVERY,IMO9206114,WACW,1024.0,moored,272.69,46.2,17.52,80.0
23652850,316002500,2015-01-31 23:54:07,48.431090000000005,-123.37591,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
