MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367069240,2015-01-01T00:00:07,37.79235,-122.28517,0.0,-94.6,187.0,C F CAMPBELL,IMO7417379,WDC7294,1025,under way using engine,32.1900,9.4800,4.2200,31
368798000,2015-01-01T00:00:05,37.78017,-122.24983,0.1,20.0,307.0,CG STRATTON,,NHTC,1018,under way using engine,127.4100,16.4600,0.0000,35
367615820,2015-01-01T00:00:04,46.25262,-124.08500,5.0,87.4,511.0,,,,,under way using engine,,,,
367530040,2015-01-01T00:00:01,45.64347,-122.75280,0.0,-201.2,50.0,WASHINGTON,IMO8207733,WDG3825,1025,under way using engine,28.3300,11.5800,0.0000,52
636092560,2015-01-01T00:00:00,37.81338,-122.31962,0.1,-54.6,40.0,,,,,moored,,,,
367307820,2015-01-01T00:00:42,48.10758,-122.77701,0.0,0.0,511.0,,,,,,,,,
338165504,2015-01-01T00:01:01,37.86887,-122.49672,0.0,83.2,511.0,,,,,,,,,
366900240,2015-01-01T00:01:26,47.61423,-122.45202,12.1,77.6,511.0,,,,,,,,,
316027733,2015-01-01T00:01:13,49.28630,-123.10073,0.0,168.5,511.0,VFPA4,,CFK5368,,undefined,13.1000,3.8800,1.8400,
338051528,2015-01-01T00:01:34,47.62915,-122.39175,0.0,0.0,511.0,PRIME MOVER,,,1019,,14.4200,4.5000,0.0000,
366824910,2015-01-01T00:01:10,48.14068,-123.42552,0.0,-95.7,293.0,JUAN DE FUCA,,WDA5852,1001,undefined,22.6500,6.0000,0.0000,90
367145610,2015-01-01T00:01:20,47.72290,-122.64095,0.0,0.0,511.0,SEA MIST,,WDD4507,1013,,22.2500,6.5000,0.0000,
316013539,2015-01-01T00:01:24,49.34602,-123.53434,1.5,121.9,511.0,STORMFORCE,IMO7629233,CZ7003,1025,under way using engine,19.5700,7.6800,3.2000,
303639000,2015-01-01T00:02:35,47.51728,-122.30753,0.0,-85.1,318.0,ALLIANCE,,WBV3784,1019,moored,35.4200,7.9000,0.0000,37
316003669,2015-01-01T00:04:21,49.15754,-122.95661,0.3,97.0,101.0,HAISEA GUARDIAN,IMO7414107,CZ5576,1025,under way using engine,23.3200,7.3200,2.9000,
316003669,2015-01-01T00:01:08,49.15760,-122.95678,0.1,96.8,94.0,HAISEA GUARDIAN,IMO7414107,CZ5576,1025,under way using engine,23.3200,7.3200,2.9000,
367403610,2015-01-01T00:01:18,47.63430,-122.32898,0.1,131.0,511.0,HOS SILVER ARROW,IMO9495533,WDE8275,1010,under way using engine,73.8400,16.6100,4.4700,70
367530040,2015-01-01T00:02:50,45.64347,-122.75279,0.0,-201.2,49.0,WASHINGTON,IMO8207733,WDG3825,1025,under way using engine,28.3300,11.5800,0.0000,52
316009844,2015-01-01T00:00:10,49.19965,-122.91122,0.0,4.0,511.0,WESTMINSTER HUNTER,,,,undefined,0.0000,0.0000,0.0000,52
316003669,2015-01-01T00:00:04,49.15762,-122.95686,0.3,100.9,98.0,HAISEA GUARDIAN,IMO7414107,CZ5576,1025,under way using engine,23.3200,7.3200,2.9000,
368798000,2015-01-01T00:03:27,37.78017,-122.24983,0.0,96.0,307.0,CG STRATTON,,NHTC,1018,under way using engine,127.4100,16.4600,0.0000,35
636013698,2015-01-01T00:01:58,37.79803,-122.32295,0.0,-173.6,289.0,YM EFFICIENCY,IMO9353280,A8OS5,1004,moored,268.8000,32.3000,12.5000,70
367088480,2015-01-01T00:02:23,47.65329,-122.32536,0.0,5.2,511.0,SEA WOLF,IMO7926590,WCW9770,1001,under way using engine,43.6000,9.5600,4.2700,0
366971000,2015-01-01T00:03:25,45.55032,-122.70243,0.0,-180.4,311.0,YAQUINA,IMO7923445,AEPD,1018,under way using engine,60.9700,17.6800,3.6600,33
367084590,2015-01-01T00:03:50,47.66697,-122.38872,0.0,-175.0,511.0,STARWARD,IMO8016536,WDC8284,1001,under way using engine,37.3700,9.4400,4.8800,0
366971000,2015-01-01T00:04:36,45.55032,-122.70242,0.0,-180.4,311.0,YAQUINA,IMO7923445,AEPD,1018,under way using engine,60.9700,17.6800,3.6600,33
316001349,2015-01-01T00:04:38,47.47735,-122.40151,5.5,-63.5,347.0,ISLAND DEFENDER,IMO8972730,CZ8755,1025,under way using engine,21.0300,7.3000,2.8300,52
366971000,2015-01-01T00:01:15,45.55032,-122.70243,0.0,-180.4,311.0,YAQUINA,IMO7923445,AEPD,1018,under way using engine,60.9700,17.6800,3.6600,33
366979330,2015-01-01T00:01:00,37.90573,-122.37138,0.0,-112.4,54.0,KEEGAN FOSS,IMO8817887,WCW5595,1025,moored,31.2400,10.3600,4.2000,
316001349,2015-01-01T00:02:19,47.47395,-122.40028,5.4,-64.5,347.0,ISLAND DEFENDER,IMO8972730,CZ8755,1025,under way using engine,21.0300,7.3000,2.8300,52
316027733,2015-01-01T00:03:44,49.28617,-123.10089,0.0,-137.4,511.0,VFPA4,,CFK5368,,undefined,13.1000,3.8800,1.8400,
316020067,2015-01-01T00:03:50,49.15460,-122.96202,0.0,-96.1,511.0,SHUSWAP,IMO9632650,,1025,undefined,17.6800,8.6100,3.9100,
367088480,2015-01-01T00:01:14,47.65331,-122.32538,0.0,23.5,511.0,SEA WOLF,IMO7926590,WCW9770,1001,under way using engine,43.6000,9.5600,4.2700,0
367084590,2015-01-01T00:01:20,47.66696,-122.38872,0.0,-154.1,511.0,STARWARD,IMO8016536,WDC8284,1001,under way using engine,37.3700,9.4400,4.8800,0
366979330,2015-01-01T00:03:58,37.90576,-122.37140,0.0,-110.0,54.0,KEEGAN FOSS,IMO8817887,WCW5595,1025,moored,31.2400,10.3600,4.2000,
316020067,2015-01-01T00:00:09,49.15459,-122.96200,0.0,-95.4,511.0,SHUSWAP,IMO9632650,,1025,undefined,17.6800,8.6100,3.9100,
367403070,2015-01-01T00:01:14,48.00287,-122.22269,0.0,-85.7,511.0,SEA JAY,,WDE8232,1019,,19.7800,5.3000,0.0000,
316001349,2015-01-01T00:03:28,47.47564,-122.40089,5.4,-63.7,346.0,ISLAND DEFENDER,IMO8972730,CZ8755,1025,under way using engine,21.0300,7.3000,2.8300,52
367309360,2015-01-01T00:03:37,48.89142,-123.03672,6.1,-101.3,309.0,PACIFIC CHALLENGER,IMO7509445,WDD9281,1025,at anchor,37.7000,10.3900,4.5500,52
367069240,2015-01-01T00:03:36,37.79233,-122.28515,0.0,-94.6,187.0,C F CAMPBELL,IMO7417379,WDC7294,1025,under way using engine,32.1900,9.4800,4.2200,31
366983830,2015-01-01T00:00:02,37.80047,-122.39786,0.0,-189.9,511.0,PERALTA,IMO8968260,WDB9847,1012,under way using engine,35.0000,10.0000,2.1000,60
538005566,2015-01-01T00:01:03,46.20581,-123.78879,0.4,-67.2,58.0,GLOBAL UNITY,IMO9665542,V7FC3,1004,at anchor,199.9900,32.2600,13.3200,70
316018851,2015-01-01T00:00:08,49.31183,-123.10700,0.1,110.0,13.0,SEASPAN RAVEN,IMO9432957,CFN6643,1025,under way using engine,28.2000,12.6000,5.1000,52
366983830,2015-01-01T00:01:12,37.80045,-122.39783,0.0,-189.9,511.0,PERALTA,IMO8968260,WDB9847,1012,under way using engine,35.0000,10.0000,2.1000,60
366950020,2015-01-01T00:01:02,38.01096,-122.38485,31.8,51.5,54.0,SOLANO,IMO8988416,WDB7930,1012,under way using engine,41.3000,11.5000,1.5000,
366773110,2015-01-01T00:02:12,48.58816,-122.93177,8.9,-102.2,302.0,WSF KLAHOWYA,IMO8836209,WK7107,1012,undefined,90.4300,22.2800,5.6400,
316018851,2015-01-01T00:01:38,49.31181,-123.10696,0.0,-171.6,13.0,SEASPAN RAVEN,IMO9432957,CFN6643,1025,under way using engine,28.2000,12.6000,5.1000,52
316011651,2015-01-01T00:02:25,49.28708,-123.10940,0.1,-97.9,511.0,BURRARD OTTER,IMO7530066,CZ8237,1012,undefined,34.2900,12.6500,2.0300,60
367645890,2015-01-01T00:02:15,47.63240,-122.33884,0.0,-49.6,511.0,MOTU,,WDH7209,1019,,13.2300,0.0000,0.0000,
367187410,2015-01-01T00:02:29,47.65897,-122.38042,0.0,-136.6,511.0,SELDOVIA,,WDD7509,30,under way using engine,29.0000,9.0000,3.0000,30
316005721,2015-01-01T00:03:33,49.31079,-123.10690,0.0,-186.0,511.0,CHARLES H CATES I,IMO8703218,,1025,under way using engine,24.3900,8.8400,2.9600,52
366946000,2015-01-01T00:03:35,47.63103,-122.38213,0.0,-190.6,178.0,PACIFIC GLACIER,IMO7391276,WRYH,1001,under way using engine,84.0000,13.4200,4.9000,30
367450570,2015-01-01T00:03:37,46.20466,-123.76159,0.0,0.0,253.0,IRONWOOD,,WDF4331,1018,moored,0.0000,0.0000,0.0000,0
316013835,2015-01-01T00:00:18,48.74763,-123.22974,0.0,0.0,511.0,MOON SHADOW VI,,,1019,,10.6000,3.8000,2.5300,
